# Constructed from biom file
OTU ID	sample-3	sample-20	sample-18	sample-8	sample-11	sample-14	sample-2	sample-22	sample-27	sample-25	sample-10	sample-26	sample-17	sample-29	sample-28	sample-13	sample-9	sample-15	sample-16	sample-12	sample-1	sample-5	sample-23	sample-21	sample-4	sample-19	sample-7	sample-6	sample-24
710efe8d9ea7b5d09a11ca5719c84413	17.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0
e9cb63887383139ecb2cda3b5bad40b2	14.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0
4b08e81b199fbefa69c62168fe1d21a9	14.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0
2d7a07c62c42805d83d9003237b5ca22	13.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
eb50e1d11c1fa43ff87662c0abf9c2a3	12.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0
06d0942ecfb7e5bb3b6feee24f207e46	12.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e2e6228ea6977cda9d190fd5492383d0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a72eb513d71d06a419ac1e78c25b76d6	11.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
98a388c4abc1a3cbfe7b00cff2e9e98b	11.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	40.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0
ee7fad7cf5d7d061052c6d1851f41a41	10.0	0.0	0.0	0.0	18.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57d418dcd6ad0ab43e775128c119571c	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	146.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
